Local	Código do Produto	Produto	Estoque (UN)	Pendência (UN)	Disponível (UN)	Lote	Lote Indústria	Data de Fabricação	Data de Vencimento	Data de Entrada	Data de Alocação	Estado	Setor	Tipo	Ordem de Recebimento	Adicionar (UN)	Tipo do Local	Qtde Separação Específica Não Roteirizado	Código Produto Depositante	Barra	Embalagem	Fator de Conversão	Estoque na Embalagem	Pendência na Embalagem	Id	Adicionar na Embalagem	Disponível na Embalagem	Barra do Lote	Embalagem do Lote	Fator do Lote	Estoque Fator Lote	Pendência Fator Lote	Adicionar Fator Lote	Disponível Fator Lote	Código do Depositante	Depositante	Buffer	Local Ativo	Lote Liberado	Período de Validade	Dias Vencidos	Maturação	Prazo de Validade	Prazo de Comercialização	Prazo Crítico	Tipo do Recebimento	Classificação	Nota Fiscal	Número NF Entrada	Data do Bloqueio	Motivo do Bloqueio	Usuário de Bloqueio	Data da Liberação	Motivo da Liberação	Usuário da Liberação	Motivo Avaria Conf. Entrada	Usuário que Avariou	Data da Avaria	Lote Adicional	Peso (Kg)	Região	Família	Marca	idProduto	idDepositante	Número Contrato	Entidade Pagadora	CNPJ	Inscrição Estadual	Data de fabricação truncada	Data de vencimento truncada	Barra LPN
1D2721	B2C-20	CX B2C 20	360	0	360	161505		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:24:22	11/06/2026 07:24:22	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	360	0	322233	0	360	2000001304201	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11787 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
1D3351	B2C-20	CX B2C 20	360	0	360	161509		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:24:48	11/06/2026 07:24:48	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	360	0	322237	0	360	2000001304201	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11791 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
1D3341	B2C-20	CX B2C 20	360	0	360	161510		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:24:54	11/06/2026 07:24:54	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	360	0	322238	0	360	2000001304201	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11792 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
1D3331	B2C-20	CX B2C 20	360	0	360	161511		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:25:02	11/06/2026 07:25:02	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	360	0	322239	0	360	2000001304201	UN	1	360	0	0	360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11793 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
1D3941	B2C-20	CX B2C 20	345	0	345	161514		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:25:19	11/06/2026 07:25:20	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-20	2000001304201	UN	1	345	0	322242	0	345	2000001304201	UN	1	345	0	0	345	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11796 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13042	20					01/06/2026	01/06/2030	
1D1521	B2C-17	CX B2C 17	840	0	840	161519		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:25:52	11/06/2026 07:25:52	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-17	2000001303901	UN	1	840	0	322248	0	840	2000001303901	UN	1	840	0	0	840	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11801 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13039	20					01/06/2026	01/06/2030	
1D7121	B2C-15	CX B2C 15	420	0	420	161531		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:08	11/06/2026 07:27:08	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322260	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11813 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D7331	B2C-15	CX B2C 15	420	0	420	161532		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:15	11/06/2026 07:27:15	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322261	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11814 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D7931	B2C-15	CX B2C 15	420	0	420	161535		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:34	11/06/2026 07:27:34	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322264	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11817 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D8131	B2C-15	CX B2C 15	420	0	420	161536		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:40	11/06/2026 07:27:40	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322265	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11818 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D8331	B2C-15	CX B2C 15	420	0	420	161537		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:27:45	11/06/2026 07:27:45	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-15	2000001303601	UN	1	420	0	322266	0	420	2000001303601	UN	1	420	0	0	420	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11819 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13036	20					01/06/2026	01/06/2030	
1D4731	B2C-12	CX B2C 12	1075	0	1075	161544		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:28:31	11/06/2026 07:28:31	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-12	2000001302401	UN	1	1075	0	322274	0	1075	2000001302401	UN	1	1075	0	0	1075	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11826 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13024	20					01/06/2026	01/06/2030	
1D4741	B2C-10	CX B2C 10	3360	0	3360	161556		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:29:47	11/06/2026 07:29:47	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-10	2000001303101	UN	1	3360	0	322286	0	3360	2000001303101	UN	1	3360	0	0	3360	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11838 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13031	20					01/06/2026	01/06/2030	
1D0951	B2C-21	CX B2C 21	405	0	405	161404		01/06/2026 00:00:00	01/06/2030 00:00:00	10/06/2026 15:33:38	10/06/2026 15:33:39	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-21	2000001304301	UN	1	405	0	322075	0	405	2000001304301	UN	1	405	0	0	405	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11726 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13043	20					01/06/2026	01/06/2030	
1D6161	B2C-02	CX B2C 02	3300	0	3300	161575		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:31:47	11/06/2026 07:31:47	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-02	2000001302601	UN	1	3300	0	322307	0	3300	2000001302601	UN	1	3300	0	0	3300	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11857 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13026	20					01/06/2026	01/06/2030	
1D7341	B2C-08	CX B2C 08	630	0	630	161573		01/06/2026 00:00:00	01/06/2030 00:00:00	11/06/2026 07:31:33	11/06/2026 07:31:33	NORMAL	B2C - PULMAO	EMBALAGEM		0	PULMÃO PALETIZADO	0	B2C-08	2000001303001	UN	1	630	0	322305	0	630	2000001303001	UN	1	630	0	0	630	19	B2C BRASIL  INTERMEDIACOES LTDA	N	S	S	PRAZO NORMAL	0	NÃO CONTROLA	100	0	0				NF: 11855 / Série: AJUSTE - E											0,001	B2C - PULMAO	B2C BRASIL  INTERMEDIACOES LTDA		13030	20					01/06/2026	01/06/2030	
