CODIGO                         DESCRICAO                                            SALDO DISPONIVEL           EMPENHO             ARMAZEM           GRUP      ENDERECAR           SALDO TOTAL                                                                                                             
Y-YP1051                       SHAMPOO PRO-GENO GENOMA 250ML                        1417                       38                  60                0450      1                   1455                                                                                                               
Y-YP1053                       GENOMA - MASCARA PRO-GENO 500G                       36                         24                  60                0450      0                   60                                                                                                                 
Y-YP1054                       MASCARA PRO-GENO GENOMA 200G -                       5                          0                   60                0450      0                   5                                                                                                                  
Y-YP1056                       SELADOR CUTICULAR PRO-GENO GEN                       1                          0                   60                0450      1                   1                                                                                                                  
Y-YP1059                       LIFES FLOWER - MEMBRANA BIOTEC                       221                        5                   60                0450      0                   226                                                                                                                
Y-YP1062                       SHAMPOO MIRRACURA 250ML - YBER                       232                        102                 60                0450      0                   334                                                                                                                
Y-YP1063                       MASCARA MIRRACURA 200G - YBERA                       28                         0                   60                0450      1                   28                                                                                                                 
Y-YP1063                       MASCARA MIRRACURA 200G - YBERA                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1064                       MIRRA - OIL REPAIR 90ML UNICA                        1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1064                       MIRRA - OIL REPAIR 90ML UNICA                        28                         0                   60                0450      1                   28                                                                                                                 
Y-YP1065                       MIRRA - OIL REPAIR 60ML UNICA                        31                         0                   60                0450      2                   31                                                                                                                 
Y-YP1065                       MIRRA - OIL REPAIR 60ML UNICA                        1                          0                   61                0450      0                   1                                                                                                                  
Y-YP1065                       MIRRA - OIL REPAIR 60ML UNICA                        2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1066                       SHAMPOO POS-PROGRESSIVA PH CON                       2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1066                       SHAMPOO POS-PROGRESSIVA PH CON                       10                         0                   60                0450      0                   10                                                                                                                 
Y-YP1068                       MASCARA POS-PROGRESSIVA PH CON                       8                          0                   60                0450      0                   8                                                                                                                  
Y-YP1068                       MASCARA POS-PROGRESSIVA PH CON                       2                          0                   62                0450      0                   2                                                                                                                  
Y-YP1069                       SHAMPOO PURPLE PLEX ALFA-CYS 2                       1                          0                   60                0450      1                   1                                                                                                                  
Y-YP1071                       SHAMPOO EXO CROMATECH QUARTA C                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1073                       RECONSTRUTOR EXO CROMATECH QUA                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1073                       RECONSTRUTOR EXO CROMATECH QUA                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1074                       RECONSTRUTOR EXO CROMATECH QUA                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1075                       FINALIZADOR EXO CROMATECH QUAR                       4                          0                   60                0450      0                   4                                                                                                                  
Y-YP1076                       FINALIZADOR EXO CROMATECH QUAR                       6                          0                   60                0450      0                   6                                                                                                                  
Y-YP1077                       ACIDIFICANTE CAPILAR ALFA-CYS                        1                          0                   60                0450      0                   1                                                                                                                  
Y-YP1078                       UNIVERSAL - C360 SPRAY 150ML U                       1471                       64                  60                0450      0                   1535                                                                                                               
Y-YP1079                       THERMIC GLOSS C360 UNIVERSAL 9                       12                         0                   60                0450      0                   12                                                                                                                 
Y-YP1080                       LEAVE-IN UNIVERSAL 250G - YBER                       4099                       831                 60                0450      1                   4930                                                                                                               
Y-YP1081                       SUMMER PROTECAO UNIVERSAL 250M                       7                          0                   60                0450      0                   7                                                                                                                  
Y-YP1082                       PRE LIMPEZA ALFA-LACTOBABY VEL                       9                          0                   60                0450      0                   9                                                                                                                  
Y-YP1082                       PRE LIMPEZA ALFA-LACTOBABY VEL                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1083                       SHAMPOO VELLO ALFA-LACTOBABY 5                       1                          0                   62                0450      0                   1                                                                                                                  
Y-YP1083                       SHAMPOO VELLO ALFA-LACTOBABY 5                       3                          0                   60                0450      0                   3                                                                                                                  
Y-YP1084                       VELLO - SHAMPOO ALFA-LACTOBABY                       316                        83                  60                0450      1                   399                                                                                                                
Y-YP1084                       VELLO - SHAMPOO ALFA-LACTOBABY                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1084                       VELLO - SHAMPOO ALFA-LACTOBABY                       23                         0                   62                0450      0                   23                                                                                                                 
Y-YP1085                       COLOSTRO VELLO ALFA-LACTOBABY                        6                          0                   60                0450      1                   6                                                                                                                  
Y-YP1086                       MASCARA VELLO ALFA-LACTOBABY 5                       3                          0                   60                0450      0                   3                                                                                                                  
Y-YP1087                       MASCARA VELLO ALFA-LACTOBABY 2                       24                         0                   60                0450      0                   24                                                                                                                 
Y-YP1087                       MASCARA VELLO ALFA-LACTOBABY 2                       10                         0                   62                0450      0                   10                                                                                                                 
Y-YP1087                       MASCARA VELLO ALFA-LACTOBABY 2                       1                          0                   64                0450      0                   1                                                                                                                  
Y-YP1088                       SORO VELLO ALFA-LACTOBABY 90ML                       14                         0                   62                0450      0                   14                                                                                                                 
Y-YP1088                       SORO VELLO ALFA-LACTOBABY 90ML                       11                         0                   64                0450      0                   11                                                                                                                 
Y-YP1088                       SORO VELLO ALFA-LACTOBABY 90ML                       2                          0                   63                0450      0                   2                                                                                                                  
Y-YP1088                       SORO VELLO ALFA-LACTOBABY 90ML                       4702                       409                 60                0450      15                  5111                                                                                                               
Y-YP1093                       SHAMPOO A SECO 150ML - FASHION                       2                          0                   60                0450      0                   2                                                                                                                  
Y-YP1097                       MASCARA MIRRACURA 500G - YBERA                       2                          0                   64                0450      0                   2                                                                                                                  
Y-YP1097                       MASCARA MIRRACURA 500G - YBERA                       3                          0                   62                0450      0                   3                                                                                                                  
Y-YP1097                       MASCARA MIRRACURA 500G - YBERA                       4                          0                   60                0450      1                   4                                                                                                                  
Y-YP1098                       SHAMPOO MIRRACURA 500ML - YBER                       7                          0                   60                0450      0                   7                                                                                                                  
Y-YP1098                       SHAMPOO MIRRACURA 500ML - YBER                       4                          0                   62                0450      0                   4                                                                                                                  
Y-YP1098                       SHAMPOO MIRRACURA 500ML - YBER                       5                          0                   64                0450      0                   5                                                                                                                  
Y-YP1099                       OLEO DE MIRRA REPARADOR 90ML R                       11                         0                   64                0450      0                   11                                                                                                                 
